		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		597.263		38.6011		-43.9281		-5.32704		0.00743876
		200		2e-13		287.488		18.5804		-23.9073		-5.32694		0.441898
		400		4e-13		295.1		19.0723		-24.3992		-5.32693		0.603286
		600		6e-13		290.637		18.7839		-24.1109		-5.32704		0.675309
		800		8e-13		312.635		20.2056		-25.5326		-5.32702		0.624421
		1000		1e-12		317.622		20.5279		-25.8549		-5.32696		0.549916
		1200		1.2e-12		317.494		20.5196		-25.8466		-5.32695		0.527772
		1400		1.4e-12		307.309		19.8614		-25.1883		-5.32695		0.543678
		1600		1.6e-12		317.33		20.509		-25.836		-5.32695		0.541736
		1800		1.8e-12		310.053		20.0387		-25.3657		-5.32696		0.553146
		2000		2e-12		319.943		20.6779		-26.0049		-5.32699		0.541949
		2200		2.2e-12		314.791		20.3449		-25.6719		-5.32697		0.509957
		2400		2.4e-12		308.429		19.9338		-25.2607		-5.32696		0.498556
		2600		2.6e-12		319.848		20.6718		-25.9987		-5.3269		0.460559
		2800		2.8e-12		315.519		20.392		-25.719		-5.32697		0.452807
		3000		3e-12		315.387		20.3835		-25.7105		-5.32698		0.467611
		3200		3.2e-12		320.296		20.7007		-26.0277		-5.32705		0.473287
		3400		3.4e-12		313.283		20.2475		-25.5744		-5.32692		0.453627
		3600		3.6e-12		308.269		19.9234		-25.2503		-5.32688		0.449063
		3800		3.8e-12		304.999		19.7121		-25.039		-5.32691		0.458798
		4000		4e-12		320.829		20.7352		-26.0621		-5.32692		0.426565
		4200		4.2e-12		344.366		22.2564		-27.5834		-5.32706		0.432056
		4400		4.4e-12		310.661		20.078		-25.405		-5.32696		0.515551
		4600		4.6e-12		310.287		20.0539		-25.3808		-5.32696		0.562498
		4800		4.8e-12		311.215		20.1138		-25.4407		-5.32695		0.568854
		5000		5e-12		309.571		20.0076		-25.3346		-5.32697		0.5338
		5200		5.2e-12		312.795		20.2159		-25.5429		-5.327		0.49947
		5400		5.4e-12		314.383		20.3186		-25.6456		-5.32701		0.498707
		5600		5.6e-12		300.301		19.4084		-24.7354		-5.32695		0.543423
		5800		5.8e-12		307.733		19.8888		-25.2158		-5.32698		0.566597
		6000		6e-12		297.32		19.2158		-24.5427		-5.32692		0.598713
		6200		6.2e-12		305.99		19.7761		-25.1031		-5.32693		0.607046
		6400		6.4e-12		312.118		20.1722		-25.4992		-5.32701		0.618342
		6600		6.6e-12		311.343		20.1221		-25.4491		-5.32697		0.597306
		6800		6.8e-12		313.012		20.2299		-25.5569		-5.32698		0.579604
		7000		7e-12		319.202		20.63		-25.9571		-5.32707		0.584856
		7200		7.2e-12		310.725		20.0822		-25.4091		-5.32697		0.582918
		7400		7.4e-12		322.573		20.8479		-26.1749		-5.32699		0.572504
		7600		7.6e-12		316.646		20.4648		-25.7918		-5.32698		0.594375
		7800		7.8e-12		311.357		20.123		-25.4499		-5.32692		0.590044
		8000		8e-12		331.449		21.4215		-26.7486		-5.32701		0.585197
		8200		8.2e-12		302.16		19.5286		-24.8556		-5.32694		0.638854
		8400		8.4e-12		302.368		19.542		-24.869		-5.32698		0.621162
		8600		8.6e-12		317.397		20.5133		-25.8403		-5.32694		0.545577
